Año;Aerolinea;Pasajeros;Origen_final;Destino_final;Mes;Ruta;Demanda_pred;Precio_final;Ingreso_estimado
2024;LATAM AIRLINES CHILE;3975;LA SERENA;ANTOFAGASTA;6;LA SERENA-ANTOFAGASTA;5289.8413;72.80268795;236420.9017
2024;LATAM AIRLINES CHILE;3459;LA SERENA;CALAMA;8;LA SERENA-CALAMA;4790.13;98.98953422;253724.066
2024;LATAM AIRLINES CHILE;2677;PUERTO MONTT;BALMACEDA;3;PUERTO MONTT-BALMACEDA;3574.308;110.1298923;161861.8697
2024;LATAM AIRLINES CHILE;2007;PUERTO MONTT;PUNTA ARENAS;6;PUERTO MONTT-PUNTA ARENAS;4036.7888;96.47002303;126228.8285
2024;LATAM AIRLINES CHILE;19430;PUERTO MONTT;SANTIAGO;2;PUERTO MONTT-SANTIAGO;17230.393;46.96923873;702260.7255
2024;LATAM AIRLINES CHILE;2653;PUNTA ARENAS;PUERTO MONTT;9;PUNTA ARENAS-PUERTO MONTT;4580.2827;45.31069544;74178.76465
2024;LATAM AIRLINES CHILE;12564;PUNTA ARENAS;SANTIAGO;4;PUNTA ARENAS-SANTIAGO;11435.456;63.22233333;686062.7193
2024;LATAM AIRLINES CHILE;28036;SANTIAGO;ANTOFAGASTA;4;SANTIAGO-ANTOFAGASTA;21867.846;83.60497503;1663024.245
2024;LATAM AIRLINES CHILE;1409;SANTIAGO;ARICA;11;SANTIAGO-ARICA;3520.6567;144.9622996;155964.9641
2024;LATAM AIRLINES CHILE;940;SANTIAGO;BALMACEDA;1;SANTIAGO-BALMACEDA;1657.8539;133.4930002;72140.67467
2024;LATAM AIRLINES CHILE;9459;SANTIAGO;CONCEPCION;8;SANTIAGO-CONCEPCION;11626.194;103.4893841;723722.8266
2024;LATAM AIRLINES CHILE;27696;SANTIAGO;CALAMA;6;SANTIAGO-CALAMA;22210.78;49.05183663;1007769.448
2024;LATAM AIRLINES CHILE;2116;SANTIAGO;COPIAPO;9;SANTIAGO-COPIAPO;4977.64;81.87564337;108820.5841
2024;LATAM AIRLINES CHILE;10204;SANTIAGO;IQUIQUE;7;SANTIAGO-IQUIQUE;10296.968;71.03091729;421370.8965
2024;LATAM AIRLINES CHILE;17683;SANTIAGO;PUERTO MONTT;9;SANTIAGO-PUERTO MONTT;16553.854;112.0155874;1741766.888
2024;LATAM AIRLINES CHILE;14015;SANTIAGO;PUNTA ARENAS;6;SANTIAGO-PUNTA ARENAS;11997.525;88.85619053;839242.8546
2024;LATAM AIRLINES CHILE;8649;SANTIAGO;VALDIVIA;6;SANTIAGO-VALDIVIA;9388.884;85.94879618;628822.2805
2024;LATAM AIRLINES CHILE;1103;SANTIAGO;TEMUCO;2;SANTIAGO-TEMUCO;2335.112;66.42447421;62199.34865
